Sno,District,Total Positive,Discharged,Active Cases,Deaths
1, Ariyalur,4663,4602,12,49
2, Chengalpattu,50922,49814,351,757
3, Chennai,229238,223230,1939,4069
4, Coimbatore,53691,52433,595,663
5, Cuddalore,24858,24524,50,284
6, Dharmapu,6539,6444,41,54
7, Dindigul,11134,10867,69,198
8, Erode,14095,13818,130,147
9, Kallakurichi,10861,10726,27,108
10, Kancheepuram,29082,28512,133,437
11,Kanniyakumari,16667,16282,128,257
12, Karur,5343,5237,56,50
13, Krishnagiri,8008,7833,58,117
14, Madurai,20830,20260,115,455
15, Nagapattinam,8335,8134,70,131
16, Namakkal,11477,11269,98,110
17, Nilgiris,8113,7994,72,47
18,Perambalur,2260,2238,1,21
19, Pudukkottai,11505,11309,40,156
20, Ramanathapuram,6391,6224,30,137
21,Ranipet,16045,15824,35,186
22,Salem,32186,31483,238,465
23,Sivagangai,6614,6445,43,126
24,Tenkasi,8352,8159,35,158
25,Thanjavur,17547,17131,173,243
26,Theni,17015,16762,48,205
27,Thootukudi,16210,16021,48,141
28,Tiruchirappalli,14511,14219,113,179
29,Tirunelveli,15489,15175,102,212
30,Tirupathur,7540,7379,36,125
31,Tiruppur,17564,17134,210,220
32,Tiruvallur,43247,42347,216,684
33,Tiruvannamalai,19303,18971,49,283
34,Tiruvarur,11086,10915,62,109
35,Vellore,20579,20050,183,346
36,Villupuram,15115,14961,44,110
37,Virudhunagar,16509,16219,59,231
38,Airport Sur,940,928,11,1
39,Airport Sur,1031,1025,5,1
40,Railway Su,428,428,0,0
,Grand Total,831323,813326,5725,12272